ts,u,i,label,idx
128985,1,6,u0_i5,212
129309,6,1,u5_i0,213
129736,1,3,u0_i2,214
130062,3,1,u2_i0,215
130484,1,3,u0_i2,216
130803,3,1,u2_i0,217
131290,1,3,u0_i2,218
131610,3,1,u2_i0,219
132219,1,4,u0_i3,220
132542,4,1,u3_i0,221
132964,1,6,u0_i5,222
133287,6,1,u5_i0,223
133907,1,4,u0_i3,224
134231,4,1,u3_i0,225
134637,1,3,u0_i2,226
134960,3,1,u2_i0,227
135440,1,4,u0_i3,228
135764,4,1,u3_i0,229
136207,1,5,u0_i4,230
136532,5,1,u4_i0,231
137086,1,3,u0_i2,232
137410,3,1,u2_i0,233
137815,1,3,u0_i2,234
138135,3,1,u2_i0,235
138592,1,4,u0_i3,236
138915,4,1,u3_i0,237
139418,1,2,u0_i1,238
139742,2,1,u1_i0,239
140183,1,6,u0_i5,240
140507,6,1,u5_i0,241
140895,1,6,u0_i5,242
141216,6,1,u5_i0,243
141774,1,4,u0_i3,244
142098,4,1,u3_i0,245
142620,1,3,u0_i2,246
142944,3,1,u2_i0,247
143436,1,6,u0_i5,248
143759,6,1,u5_i0,249
144274,1,4,u0_i3,250
144598,4,1,u3_i0,251
145031,1,4,u0_i3,252
145351,4,1,u3_i0,253
145885,1,5,u0_i4,254
146209,5,1,u4_i0,255
146685,1,3,u0_i2,256
147009,3,1,u2_i0,257
147634,1,2,u0_i1,258
147960,2,1,u1_i0,259
148557,1,6,u0_i5,260
148880,6,1,u5_i0,261
149457,1,2,u0_i1,262
149781,2,1,u1_i0,263
150222,1,3,u0_i2,264
150546,3,1,u2_i0,265
151093,1,2,u0_i1,266
151419,2,1,u1_i0,267
151978,1,2,u0_i1,268
152301,2,1,u1_i0,269
152843,1,4,u0_i3,270
153167,4,1,u3_i0,271
153740,1,5,u0_i4,272
154064,5,1,u4_i0,273
154668,1,6,u0_i5,274
154992,6,1,u5_i0,275
155452,1,5,u0_i4,276
155776,5,1,u4_i0,277
156202,1,2,u0_i1,278
156529,2,1,u1_i0,279
157090,1,4,u0_i3,280
157414,4,1,u3_i0,281
157909,1,6,u0_i5,282
158233,6,1,u5_i0,283
158763,1,5,u0_i4,284
159087,5,1,u4_i0,285
159680,1,6,u0_i5,286
160004,6,1,u5_i0,287
160526,1,2,u0_i1,288
160850,2,1,u1_i0,289
161287,1,6,u0_i5,290
161610,6,1,u5_i0,291
161996,1,4,u0_i3,292
162321,4,1,u3_i0,293
162738,1,6,u0_i5,294
163062,6,1,u5_i0,295
163618,1,4,u0_i3,296
163943,4,1,u3_i0,297
164438,1,2,u0_i1,298
164762,2,1,u1_i0,299
165308,1,2,u0_i1,300
165628,2,1,u1_i0,301
166021,1,4,u0_i3,302
166345,4,1,u3_i0,303
166748,1,6,u0_i5,304
167071,6,1,u5_i0,305
167652,1,5,u0_i4,306
167975,5,1,u4_i0,307
168389,1,5,u0_i4,308
168709,5,1,u4_i0,309
169216,1,6,u0_i5,310
169540,6,1,u5_i0,311
170078,1,6,u0_i5,312
170398,6,1,u5_i0,313
170889,1,4,u0_i3,314
171213,4,1,u3_i0,315
171799,1,2,u0_i1,316
172122,2,1,u1_i0,317
172531,1,2,u0_i1,318
172851,2,1,u1_i0,319
173326,1,6,u0_i5,320
173650,6,1,u5_i0,321
174229,1,2,u0_i1,322
174555,2,1,u1_i0,323
175032,1,4,u0_i3,324
175359,4,1,u3_i0,325
175839,1,5,u0_i4,326
176162,5,1,u4_i0,327
176697,1,3,u0_i2,328
177021,3,1,u2_i0,329
177506,1,2,u0_i1,330
177831,2,1,u1_i0,331
178455,1,2,u0_i1,332
178775,2,1,u1_i0,333
179182,1,3,u0_i2,334
179505,3,1,u2_i0,335
179930,1,4,u0_i3,336
180253,4,1,u3_i0,337
180714,1,6,u0_i5,338
181037,6,1,u5_i0,339
181646,1,2,u0_i1,340
181970,2,1,u1_i0,341
182532,1,3,u0_i2,342
182859,3,1,u2_i0,343
183343,1,4,u0_i3,344
183666,4,1,u3_i0,345
184278,1,4,u0_i3,346
184598,4,1,u3_i0,347
185222,1,3,u0_i2,348
185546,3,1,u2_i0,349
186100,1,5,u0_i4,350
186423,5,1,u4_i0,351
186935,1,5,u0_i4,352
187254,5,1,u4_i0,353
187799,1,2,u0_i1,354
188124,2,1,u1_i0,355
188534,1,6,u0_i5,356
188857,6,1,u5_i0,357
189279,1,2,u0_i1,358
189602,2,1,u1_i0,359
190121,1,6,u0_i5,360
190445,6,1,u5_i0,361
190992,1,2,u0_i1,362
191318,2,1,u1_i0,363
191787,1,4,u0_i3,364
192110,4,1,u3_i0,365
192735,1,2,u0_i1,366
193062,2,1,u1_i0,367
193656,1,5,u0_i4,368
193982,5,1,u4_i0,369
194454,1,2,u0_i1,370
194778,2,1,u1_i0,371
195262,1,4,u0_i3,372
195585,4,1,u3_i0,373
195991,1,4,u0_i3,374
196311,4,1,u3_i0,375
196743,1,3,u0_i2,376
197067,3,1,u2_i0,377
197590,1,3,u0_i2,378
197910,3,1,u2_i0,379
198360,1,5,u0_i4,380
198686,5,1,u4_i0,381
199130,1,6,u0_i5,382
199458,6,1,u5_i0,383
200082,1,5,u0_i4,384
200406,5,1,u4_i0,385
200870,1,4,u0_i3,386
