Value,Consecutive Count,onset
1,1297,3040665
0,1711,3041962
4,1299,3043673
0,1936,3044972
4,1279,3046908
0,1763,3048187
1,1294,3049950
0,2042,3051244
2,1297,3053286
0,2450,3054583
5,1293,3057033
0,1904,3058326
1,1294,3060230
0,2184,3061524
5,1296,3063708
0,2479,3065004
1,1296,3067483
0,1972,3068779
3,1304,3070751
0,2193,3072055
4,1297,3074248
0,2158,3075545
4,1281,3077703
0,1885,3078984
3,1294,3080869
0,1624,3082163
1,1294,3083787
0,2491,3085081
2,1301,3087572
0,2107,3088873
5,1295,3090980
0,1699,3092275
1,1296,3093974
0,1861,3095270
5,1306,3097131
0,1902,3098437
2,1295,3100339
0,1656,3101634
2,1277,3103290
0,1888,3104567
1,1312,3106455
0,1947,3107767
1,1282,3109714
0,2119,3110996
1,1280,3113115
0,2077,3114395
4,1294,3116472
0,1746,3117766
3,1296,3119512
0,2078,3120808
1,1290,3122886
0,1999,3124176
4,1294,3126175
0,1735,3127469
5,1292,3129204
0,2480,3130496
5,1280,3132976
0,2012,3134256
2,1295,3136268
0,2265,3137563
2,1293,3139828
0,2469,3141121
4,1290,3143590
0,4988,3144880
2,1295,3149868
0,2376,3151163
5,1294,3153539
0,2199,3154833
4,1296,3157032
0,1732,3158328
3,1294,3160060
0,2323,3161354
3,1280,3163677
0,2499,3164957
1,1294,3167456
0,1833,3168750
3,1301,3170583
0,1583,3171884
4,1303,3173467
0,2062,3174770
3,1293,3176832
0,2339,3178125
5,1297,3180464
0,2293,3181761
2,1294,3184054
0,1965,3185348
4,1296,3187313
0,1627,3188609
1,1294,3190236
0,1773,3191530
3,1297,3193303
0,2479,3194600
4,1296,3197079
0,1824,3198375
2,1296,3200199
0,2357,3201495
5,1295,3203852
0,2151,3205147
2,1295,3207298
0,1593,3208593
5,1293,3210186
0,2093,3211479
5,1278,3213572
0,1574,3214850
3,1296,3216424
0,1794,3217720
5,1310,3219514
0,1701,3220824
3,1294,3222525
0,1903,3223819
5,1297,3225722
0,2186,3227019
2,1293,3229205
0,1825,3230498
1,1294,3232323
0,2185,3233617
3,1294,3235802
0,1693,3237096
1,1302,3238789
0,1986,3240091
5,1292,3242077
0,2064,3243369
1,1303,3245433
0,1562,3246736
5,1294,3248298
0,1965,3249592
2,1296,3251557
0,2301,3252853
2,1287,3255154
0,2044,3256441
4,1293,3258485
0,2389,3259778
2,1295,3262167
0,2154,3263462
5,1293,3265616
0,1575,3266909
3,1295,3268484
0,1918,3269779
2,1296,3271697
0,1778,3272993
4,1296,3274771
0,2497,3276067
1,1294,3278564
0,2293,3279858
1,1280,3282151
0,2495,3283431
5,1296,3285926
0,1935,3287222
4,1294,3289157
0,2012,3290451
5,1311,3292463
0,1872,3293774
1,1296,3295646
0,2109,3296942
5,1290,3299051
0,1703,3300341
3,1293,3302044
0,2263,3303337
1,1310,3305600
0,2458,3306910
4,1302,3309368
0,2060,3310670
1,1294,3312730
0,2016,3314024
3,1307,3316040
0,2495,3317347
5,1295,3319842
0,2466,3321137
4,1295,3323603
0,1919,3324898
5,1294,3326817
0,1984,3328111
2,1293,3330095
0,1902,3331388
4,1295,3333290
0,2063,3334585
4,1291,3336648
0,2498,3337939
5,1295,3340437
0,2041,3341732
5,1281,3343773
0,1624,3345054
1,1293,3346678
0,1816,3347971
3,1303,3349787
0,2045,3351090
5,1296,3353135
0,2050,3354431
3,1303,3356481
0,2046,3357784
4,1293,3359830
0,1526,3361123
5,1296,3362649
0,1654,3363945
3,1295,3365599
0,1762,3366894
2,1297,3368656
0,2168,3369953
1,1294,3372121
0,1781,3373415
1,1293,3375196
0,1700,3376489
2,1295,3378189
0,2394,3379484
3,1305,3381878
0,1921,3383183
1,1292,3385104
0,2479,3386396
3,1296,3388875
0,2356,3390171
4,1295,3392527
0,1887,3393822
5,1295,3395709
0,2294,3397004
3,1295,3399298
0,2325,3400593
5,1296,3402918
0,1932,3404214
2,1295,3406146
0,2109,3407441
5,1292,3409550
0,2215,3410842
2,1296,3413057
0,2245,3414353
5,1295,3416598
0,2047,3417893
3,1292,3419940
0,1825,3421232
1,1295,3423057
0,1684,3424352
1,1280,3426036
0,1978,3427316
1,1284,3429294
0,2426,3430578
4,1302,3433004
0,1512,3434306
1,1294,3435818
0,1721,3437112
3,1309,3438833
0,1640,3440142
1,1292,3441782
0,2229,3443074
2,1296,3445303
0,2293,3446599
3,1295,3448892
0,1949,3450187
1,1296,3452136
0,1561,3453432
1,1278,3454993
0,2107,3456271
2,1294,3458378
0,2348,3459672
5,1296,3462020
0,2475,3463316
3,1292,3465791
0,1733,3467083
2,1294,3468816
0,2046,3470110
4,1292,3472156
0,1855,3473448
3,1296,3475303
0,2152,3476599
5,1295,3478751
0,1675,3480046
4,1306,3481721
0,2090,3483027
3,1295,3485117
0,2389,3486412
2,1292,3488801
0,1690,3490093
4,1306,3491783
0,2138,3493089
2,1295,3495227
0,2311,3496522
5,1293,3498833
0,2479,3500126
1,1295,3502605
0,1747,3503900
1,1281,3505647
0,2119,3506928
1,1282,3509047
0,1919,3510329
5,1293,3512248
0,2060,3513541
2,1295,3515601
0,1720,3516896
3,1290,3518616
0,2469,3519906
1,1293,3522375
0,1980,3523668
5,1295,3525648
0,1544,3526943
4,1295,3528487
0,2481,3529782
2,1294,3532263
0,1647,3533557
4,1302,3535204
0,2423,3536506
4,1292,3538929
0,2402,3540221
1,1295,3542623
0,2262,3543918
2,1293,3546180
0,1944,3547473
1,1302,3549417
0,2332,3550719
4,1303,3553051
0,2250,3554354
5,1292,3556604
0,1577,3557896
5,1277,3559473
0,2018,3560750
4,1305,3562768
0,2252,3564073
5,1305,3566325
0,1670,3567630
3,1295,3569300
0,2122,3570595
5,1293,3572717
0,2341,3574010
5,1281,3576351
0,2,3577632
92,1026,3577634
0,6340,3578660
