Value,Consecutive Count,onset
0,1621,804777
5,1296,806398
0,2391,807694
5,1291,810085
0,1771,811376
3,1301,813147
0,1535,814448
3,1290,815983
0,1825,817273
1,1295,819098
0,1683,820393
3,1296,822076
0,1607,823372
3,1280,824979
0,1981,826259
4,1294,828240
0,2202,829534
4,1277,831736
0,1545,833013
1,1295,834558
0,1824,835853
3,1296,837677
0,2167,838973
3,1281,841140
0,2327,842421
4,1292,844748
0,2481,846040
3,1294,848521
0,1845,849815
1,1306,851660
0,2124,852966
4,1309,855090
0,1936,856399
1,1294,858335
0,1780,859629
1,1279,861409
0,1792,862688
3,1295,864480
0,2028,865775
3,1277,867803
0,2387,869080
3,1279,871467
0,2452,872746
4,1296,875198
0,2469,876494
2,1292,878963
0,2181,880255
2,1282,882436
0,2181,883718
4,1296,885899
0,1580,887195
2,1291,888775
0,1730,890066
4,1312,891796
0,2355,893108
2,1295,895463
0,2293,896758
4,1295,899051
0,1518,900346
4,1291,901864
0,1890,903155
5,1292,905045
0,1516,906337
3,1293,907853
0,1934,909146
3,1279,911080
0,2278,912359
2,1295,914637
0,2295,915932
3,1294,918227
0,1546,919521
1,1307,921067
0,2231,922374
3,1296,924605
0,1652,925901
2,1297,927553
0,2120,928850
1,1296,930970
0,2247,932266
2,1294,934513
0,2417,935807
2,1281,938224
0,2276,939505
1,1296,941781
0,1796,943077
1,1278,944873
0,2089,946151
4,1296,948240
0,2058,949536
3,1295,951594
0,2153,952889
4,1296,955042
0,2191,956338
4,1288,958529
0,2450,959817
2,1295,962267
0,2219,963562
2,1291,965781
0,1623,967072
4,1293,968695
0,1974,969988
3,1303,971962
0,2167,973265
4,1296,975432
0,1861,976728
4,1291,978589
0,1920,979880
5,1293,981800
0,2340,983093
2,1295,985433
0,2121,986728
3,1295,988849
0,2054,990144
5,1301,992198
0,1777,993499
2,1297,995276
0,1631,996573
5,1301,998204
0,2158,999505
3,1306,1001663
0,2153,1002969
3,1278,1005122
0,2153,1006400
3,1281,1008553
0,2234,1009834
3,1275,1012068
0,2501,1013343
2,1291,1015844
0,1606,1017135
1,1294,1018741
0,1576,1020035
3,1296,1021611
0,1961,1022907
2,1299,1024868
0,2277,1026167
4,1296,1028444
0,2279,1029740
5,1294,1032019
0,2484,1033313
1,1307,1035797
0,1658,1037104
4,1290,1038762
0,1608,1040052
3,1294,1041660
0,2043,1042954
5,1295,1044997
0,1999,1046292
2,1294,1048291
0,2182,1049585
4,1295,1051767
0,2034,1053062
2,1306,1055096
0,1661,1056402
3,1303,1058063
0,1762,1059366
1,1296,1061128
0,2262,1062424
2,1294,1064686
0,1945,1065980
4,1295,1067925
0,1877,1069220
4,1281,1071097
0,1907,1072378
4,1291,1074285
0,2216,1075576
3,1293,1077792
0,1531,1079085
2,1293,1080616
0,1934,1081909
2,1280,1083843
0,1703,1085123
5,1292,1086826
