Target,Neibour,I,J,Value
10,8,8,6,14.873823
3,3,5,10,14.862623
5,5,4,3,14.8518505
6,6,10,1,14.840502
10,4,5,2,14.8340845
2,3,8,8,14.818214
7,5,5,2,14.783799
4,5,10,10,14.737305
1,10,7,7,14.582701
8,4,10,7,14.542156
9,7,5,5,14.478482
4,3,5,5,14.466735
10,3,5,5,14.457265
10,2,2,9,14.45327
9,6,3,3,14.443714
10,10,9,6,14.428976
7,10,1,10,14.421163
7,1,1,3,14.392763
3,1,4,4,14.35133
10,6,1,7,14.340864
5,9,2,2,14.320395
4,10,8,3,14.292204
4,3,8,8,14.27831
2,4,9,6,14.274625
1,1,4,1,14.268659
3,5,5,9,14.265207
8,8,10,4,14.2304535
6,8,7,2,14.199569
7,8,4,3,14.195258
1,1,3,9,14.173917
8,7,7,10,14.166077
8,3,5,5,14.137877
2,3,5,5,14.12095
10,7,8,9,14.104748
1,4,9,6,14.086004
2,7,5,5,14.042948
10,4,4,3,13.978245
1,2,5,5,13.927774
3,4,2,2,13.874097
2,4,5,3,13.865442
10,1,1,7,13.859709
10,7,5,5,13.812895
4,10,10,9,13.777581
9,9,8,8,13.766664
6,8,7,5,13.76462
5,3,10,1,13.741035
2,1,10,10,13.720623
4,8,5,9,13.716181
6,8,4,3,13.660053
10,8,5,9,13.616657
4,2,9,9,13.615705
2,8,8,3,13.611713
7,1,8,8,13.581681
10,7,7,3,13.573736
2,5,4,4,13.538884
2,10,10,1,13.538409
8,3,3,8,13.516487
6,7,8,9,13.47534
4,1,1,3,13.472763
10,7,1,7,13.339866
3,5,8,1,13.25317
7,10,6,3,13.217544
1,7,7,6,13.185174
4,1,1,7,13.169967
10,10,4,1,13.135833
1,9,6,6,13.10859
1,7,4,2,13.090534
4,4,6,5,13.088389
3,10,4,4,13.08533
7,9,6,6,13.0196085
5,7,1,1,13.016025
1,7,7,8,12.992621
3,10,10,7,12.986056
8,9,6,1,12.9805355
4,5,5,10,12.918542
1,8,8,3,12.915204
8,1,8,8,12.8888
1,9,8,8,12.884162
5,4,4,2,12.824875
9,3,3,3,12.82106
1,6,1,7,12.745153
1,1,6,6,12.713999
7,5,5,10,12.618132
2,4,5,2,12.593362
3,5,4,4,12.458559
6,6,6,4,12.455595
5,9,6,6,12.379798
2,2,2,1,12.377193
4,7,1,7,12.354036
2,6,5,10,12.351934
10,10,5,5,12.350287
2,8,6,5,12.315733
7,10,4,4,12.277979
10,8,8,1,12.275803
2,7,3,3,12.240528
3,8,10,10,12.2181425
1,7,7,9,12.098508
4,10,6,5,12.053468
1,5,5,2,11.981892
5,3,7,6,11.965875
8,7,10,4,11.961656
1,5,10,10,11.93137
4,5,5,8,11.927977
4,7,3,3,11.881658
2,8,2,5,11.848374
4,1,8,8,11.828857
2,8,8,2,11.813095
1,7,5,5,11.800469
8,7,7,3,11.7862835
1,8,3,3,11.778061
4,8,8,6,11.734505
4,5,6,6,11.683823
10,7,10,4,11.647518
5,4,10,7,11.611058
2,7,7,3,11.588907
6,9,2,2,11.569307
3,5,5,10,11.555476
7,4,5,3,11.537883
10,1,1,9,11.48004
6,4,1,9,11.47798
6,7,7,3,11.445798
8,5,10,10,11.36914
5,5,2,6,11.359981
4,7,8,9,11.355766
5,4,4,6,11.223075
7,8,7,2,11.158443
10,7,3,8,11.15608
4,6,3,3,11.140398
2,10,10,6,11.110034
3,1,10,10,11.093348
10,9,3,3,11.05943
8,1,1,7,11.054924
4,4,5,8,11.05409
10,5,4,4,11.034783
1,10,10,9,11.014443
8,9,9,7,10.990158
2,1,8,8,10.987133
7,10,6,8,10.96926
4,4,8,8,10.936524
1,4,2,2,10.934894
4,6,1,7,10.92082
4,8,8,1,10.912773
2,4,10,9,10.8948555
5,8,10,10,10.890221
9,8,5,5,10.8606825
8,9,8,8,10.845402
6,7,7,10,10.812148
7,4,10,9,10.739305
10,7,7,2,10.69534
2,2,2,4,10.685386
8,6,7,9,10.651724
9,2,9,9,10.633525
6,6,2,3,10.615121
9,6,7,7,10.595716
2,2,1,3,10.544354
5,10,10,9,10.530114
10,10,4,6,10.527175
9,7,8,8,10.524918
8,7,5,9,10.462063
7,4,9,6,10.4394045
1,10,8,3,10.438794
5,10,8,3,10.398341
1,5,8,1,10.374784
5,5,4,10,10.3675165
1,7,8,2,10.362832
6,4,10,9,10.356934
6,7,1,7,10.348418
2,7,10,4,10.32508
1,7,3,3,10.314129
6,4,2,2,10.271944
7,9,7,7,10.248958
1,8,10,10,10.214354
7,8,7,5,10.183422
8,6,6,8,10.139755
4,10,6,3,10.13959
9,4,4,4,10.130956
9,1,2,2,10.107131
5,5,10,3,10.094765
2,2,7,6,10.0730915
2,9,2,2,10.0282
7,1,1,9,10.013628
10,8,8,9,9.996333
1,5,5,10,9.966562
2,4,4,3,9.939122
10,7,8,4,9.938877
4,7,7,10,9.894501
2,2,4,5,9.891484
4,10,1,10,9.8744755
7,7,4,5,9.870863
5,10,7,7,9.801089
7,5,4,4,9.765946
2,6,6,5,9.745113
5,10,5,5,9.735785
1,1,7,9,9.730391
10,3,10,1,9.727313
9,7,4,4,9.718638
6,4,9,6,9.634999
6,10,4,4,9.634849
1,9,7,7,9.603453
3,7,7,6,9.598469
5,7,7,8,9.588518
8,6,6,10,9.579043
2,6,4,10,9.564501
6,10,10,9,9.553539
7,7,2,7,9.527445
10,7,10,6,9.4799185
1,9,9,7,9.46044
10,7,6,4,9.42579
8,4,4,10,9.414635
10,7,7,5,9.411442
3,2,4,4,9.399142
6,5,4,4,9.3525
5,1,7,7,9.34514
7,4,5,2,9.33131
8,2,10,10,9.315749
3,7,7,9,9.25245
1,4,10,9,9.221051
5,10,10,4,9.195035
10,9,2,2,9.17781
4,9,2,2,9.162921
4,10,6,8,9.1550665
6,10,8,3,9.132849
4,7,10,4,9.120711
7,4,4,3,9.11129
6,7,10,4,9.102281
3,8,7,2,9.069069
5,5,3,10,9.065281
2,6,3,3,9.034449
6,2,2,9,9.015935
10,7,2,9,9.005216
5,7,4,2,8.9565325
7,7,4,6,8.910359
8,7,10,6,8.90634
3,10,5,5,8.8899355
1,2,2,3,8.849111
6,8,3,3,8.845073
7,3,5,5,8.7989435
8,3,9,9,8.797696
6,4,5,3,8.793135
5,5,3,8,8.775472
9,4,10,7,8.77003
8,4,4,5,8.74584
5,5,9,7,8.715303
5,9,6,1,8.708641
5,2,4,4,8.697421
4,9,6,6,8.681032
5,1,8,8,8.679684
10,6,6,10,8.669218
10,8,6,5,8.661979
1,10,10,4,8.646318
5,4,5,2,8.61272
8,5,5,3,8.596045
6,5,10,10,8.59515
4,7,5,5,8.581312
5,8,4,3,8.552902
10,7,1,8,8.528152
1,8,4,3,8.527184
5,10,6,5,8.526884
4,5,5,3,8.522143
8,6,3,3,8.50306
4,4,7,8,8.494493
4,7,7,3,8.487158
3,6,1,7,8.466559
2,5,6,6,8.396472
10,10,3,9,8.381154
1,4,5,2,8.38052
4,2,4,4,8.377327
6,4,4,3,8.368725
5,7,9,9,8.357455
2,5,10,10,8.349251
9,9,3,3,8.3435545
1,2,1,1,8.337568
5,9,8,8,8.2954645
9,8,9,9,8.287756
3,8,4,3,8.283108
5,8,7,2,8.282837
3,7,5,5,8.278814
7,1,2,9,8.276153
1,2,2,9,8.263016
1,8,7,2,8.258745
10,7,2,6,8.258678
7,3,3,8,8.236361
10,1,2,9,8.229097
5,5,6,6,8.190584
1,4,4,3,8.143092
2,8,4,3,8.10567
10,8,2,5,8.035081
6,4,5,2,8.031289
7,10,9,9,8.030398
10,7,10,3,7.98796
10,8,8,2,7.976078
1,10,6,5,7.9527116
6,7,8,4,7.936417
10,3,9,9,7.9256444
2,3,9,9,7.873404
5,7,7,6,7.8731112
7,7,2,5,7.8571787
6,2,2,3,7.837479
1,1,6,7,7.830691
9,6,10,10,7.8295665
6,10,10,4,7.8091617
2,9,6,6,7.7904086
10,3,7,6,7.785124
3,8,7,5,7.7688456
1,9,6,1,7.76461
4,8,8,3,7.757039
3,7,8,9,7.7335577
8,7,8,4,7.72776
5,4,9,6,7.688063
1,5,6,6,7.667881
6,10,6,5,7.658915
1,2,3,8,7.6150517
3,9,2,2,7.583054
8,1,5,2,7.5591416
7,9,9,7,7.556663
8,3,3,9,7.542733
9,5,8,8,7.534029
8,5,9,5,7.4920664
10,6,7,10,7.4733768
6,6,8,1,7.4410987
10,1,5,2,7.433186
7,9,6,1,7.4003415
5,9,9,7,7.3918633
6,3,9,9,7.3682528
5,8,7,5,7.356733
6,5,6,6,7.3206406
5,4,10,9,7.304373
10,2,9,9,7.2873874
4,5,9,5,7.28192
2,8,7,2,7.2584815
9,6,5,5,7.2538495
10,8,10,10,7.2536845
5,4,4,3,7.2459936
1,8,7,5,7.2349105
6,9,7,7,7.2283683
6,6,9,9,7.2086906
6,1,8,8,7.1834784
5,10,4,4,7.180481
4,7,10,6,7.1766443
6,2,9,9,7.1700335
10,10,7,2,7.104632
1,10,6,8,7.0901194
7,6,2,2,7.0860023
8,4,4,2,7.083043
8,2,9,9,7.053972
6,6,4,1,7.02872
2,10,10,9,7.001344
5,7,7,9,6.9510617
9,5,1,1,6.9417076
1,10,1,10,6.8783593
9,5,4,4,6.8724494
4,8,8,9,6.842485
8,10,4,4,6.8364177
5,4,5,3,6.8118057
10,7,9,6,6.7981715
8,4,4,6,6.787033
5,7,8,2,6.778513
1,10,6,3,6.7701364
6,7,7,2,6.759142
2,6,9,9,6.757246
1,3,5,5,6.754571
5,2,9,9,6.740545
4,9,1,1,6.7053227
8,5,9,6,6.688352
1,7,7,10,6.6764636
10,10,1,7,6.6704955
5,4,1,9,6.6525245
6,7,10,6,6.612134
4,1,1,9,6.6057906
5,9,5,5,6.5968246
5,4,8,8,6.5954595
2,9,9,7,6.5923347
9,10,6,6,6.563933
5,10,6,3,6.511733
8,2,4,4,6.4924474
9,1,5,5,6.453746
3,7,10,4,6.4441824
10,10,10,3,6.4424877
6,7,7,5,6.4168367
9,2,8,8,6.3729687
5,10,1,10,6.340051
6,10,6,3,6.3301177
6,9,3,3,6.326149
3,9,6,6,6.319248
2,10,8,3,6.3152227
3,9,1,1,6.3119245
6,7,2,9,6.270454
6,7,6,4,6.2523394
9,2,3,3,6.2437143
2,1,1,3,6.2403693
2,8,7,5,6.2325597
1,7,8,9,6.1935353
5,7,8,9,6.1915207
9,9,1,1,6.1868687
3,7,7,10,6.1423855
6,3,5,5,6.120263
6,9,9,7,6.1157265
6,1,1,3,6.1145754
6,2,3,8,6.0874596
4,4,4,9,6.065883
8,7,2,9,6.0640697
9,8,4,4,6.032095
8,7,7,5,6.022691
9,10,3,3,6.014458
3,7,7,3,6.009778
1,2,9,9,5.999639
5,10,6,8,5.9924707
8,8,5,10,5.984953
10,1,6,6,5.9796424
2,2,6,10,5.9766355
8,7,7,2,5.9707384
6,2,7,7,5.9432936
10,9,4,4,5.936508
10,2,2,10,5.9317145
4,8,2,5,5.929122
6,7,3,8,5.926479
7,1,5,2,5.925562
6,1,1,7,5.9186635
8,1,10,7,5.9065566
9,7,5,9,5.9000587
3,7,1,7,5.8794856
9,6,4,4,5.876274
10,7,5,9,5.865467
10,10,5,2,5.8578997
1,7,8,4,5.856262
9,8,1,1,5.830278
10,9,6,6,5.806059
7,2,2,7,5.798959
10,8,4,3,5.758488
8,9,7,7,5.723874
4,1,10,7,5.71593
1,5,5,8,5.6936073
9,10,7,7,5.6900744
6,10,1,10,5.6519265
8,9,1,1,5.64694
8,10,2,2,5.639369
2,10,10,4,5.6258316
10,2,7,7,5.584487
5,3,9,9,5.5843234
2,7,5,9,5.559427
5,7,1,7,5.544718
9,6,6,1,5.531458
6,9,6,1,5.5200825
2,6,2,2,5.490195
2,9,6,1,5.4681325
9,9,3,8,5.45129
8,7,3,8,5.4126697
2,5,5,8,5.409805
1,7,7,3,5.405898
4,5,9,6,5.403189
6,9,1,1,5.401609
4,8,6,5,5.398673
4,8,8,2,5.3185725
6,7,10,3,5.305836
4,4,6,1,5.2898088
4,4,9,8,5.2761197
8,3,3,6,5.272423
4,1,5,8,5.2676125
9,9,2,3,5.2552614
10,4,4,1,5.247303
3,6,3,4,5.2368283
5,6,3,4,5.233787
9,8,3,3,5.2336907
10,8,8,3,5.2284765
3,10,2,2,5.214177
8,1,2,9,5.1787844
4,1,1,4,5.1707745
6,7,1,8,5.170021
8,6,9,9,5.16955
9,8,8,6,5.1678553
8,1,5,8,5.1605124
6,7,2,6,5.146304
9,4,1,1,5.1395793
4,6,2,2,5.105394
10,6,6,8,5.0815043
6,7,9,6,5.077367
8,4,1,9,5.050642
4,7,8,4,5.0169344
3,10,10,6,5.0161276
9,8,7,7,4.9729476
3,2,9,9,4.9679565
10,10,10,5,4.931436
8,4,9,6,4.9310584
2,3,3,8,4.9262714
7,9,8,8,4.912693
5,3,3,8,4.908557
1,6,3,4,4.9050684
2,10,9,9,4.902174
10,10,7,6,4.895222
1,7,1,7,4.8871617
9,9,10,10,4.8847322
6,6,4,6,4.8689494
9,10,9,9,4.85259
8,7,6,4,4.848629
6,10,6,8,4.838131
9,7,7,8,4.83095
7,6,6,9,4.824945
7,5,5,8,4.82412
10,1,1,10,4.8205633
4,1,5,2,4.8134656
10,6,7,9,4.8093967
3,3,1,7,4.792361
2,7,7,10,4.775605
9,7,9,9,4.762323
7,1,10,7,4.7603197
1,7,7,5,4.73102
10,9,7,7,4.7229776
3,6,2,2,4.7213573
4,10,9,9,4.7145133
4,1,2,9,4.7133303
1,7,10,4,4.7037683
9,5,3,3,4.682416
4,4,3,3,4.651845
1,6,2,2,4.645656
5,1,1,3,4.6427813
4,3,3,8,4.629203
5,7,7,10,4.6047363
9,1,4,4,4.6045456
2,10,6,5,4.600124
8,2,7,7,4.58199
9,6,1,1,4.573819
6,6,10,6,4.5464845
9,8,2,2,4.528474
4,9,6,1,4.4998994
10,1,1,4,4.492631
8,3,8,6,4.487056
10,6,2,2,4.4823885
9,7,4,2,4.4732037
8,10,10,1,4.468928
8,4,4,3,4.4533534
8,6,2,2,4.440121
6,5,5,8,4.4386234
9,3,10,10,4.4319067
1,3,9,9,4.4166055
9,10,8,8,4.4123964
1,7,9,6,4.4097433
4,8,7,2,4.3964524
9,9,9,6,4.385668
8,7,9,6,4.372683
10,5,5,8,4.332427
3,10,10,1,4.3238463
7,3,9,9,4.31224
9,6,8,8,4.3043365
8,4,5,3,4.298069
9,5,5,2,4.2664433
6,7,5,5,4.2594275
8,4,10,9,4.2587647
3,5,5,8,4.2583055
8,10,5,5,4.253555
3,3,10,4,4.2530994
4,4,6,4,4.2252774
2,7,8,4,4.21988
8,4,3,3,4.198478
3,9,3,3,4.18729
6,3,3,8,4.1868916
10,9,6,1,4.1843457
8,1,1,4,4.1490526
3,8,8,4,4.133751
4,8,10,10,4.1176133
3,7,5,9,4.1078625
2,6,1,7,4.0969763
9,1,7,7,4.0776806
4,9,8,8,4.063256
10,10,4,9,4.05495
6,1,1,9,4.042139
2,7,10,6,4.039949
1,10,9,9,4.032376
8,5,4,5,4.0246825
10,1,10,7,4.012695
7,6,7,9,3.9997873
6,6,10,7,3.9971108
8,7,2,6,3.9954178
4,1,4,5,3.9903822
3,5,10,10,3.977923
4,7,5,9,3.9757626
1,2,7,7,3.9553795
8,7,10,3,3.943769
3,1,1,9,3.9381027
1,7,10,3,3.9109025
7,6,6,8,3.9041624
7,1,1,4,3.8901832
7,6,6,10,3.8896456
2,9,1,1,3.877844
2,1,1,7,3.858368
7,2,3,9,3.8541367
9,3,1,1,3.848484
7,5,7,7,3.8281827
10,1,5,8,3.825529
1,7,6,4,3.82529
4,8,4,3,3.822949
8,4,5,2,3.8197875
5,7,7,3,3.8196747
9,3,4,4,3.814416
2,10,6,8,3.8020267
9,9,2,9,3.8004653
2,10,1,10,3.7770748
7,4,3,3,3.7749999
4,6,9,9,3.7520466
5,7,8,4,3.7245946
8,9,4,4,3.7110755
3,7,8,4,3.6983123
3,7,10,6,3.691734
2,7,7,5,3.6861472
5,9,1,1,3.683935
4,7,7,2,3.6756222
8,10,10,6,3.6591835
9,6,3,4,3.6529224
2,7,7,2,3.649279
7,6,6,7,3.6486464
1,7,10,6,3.6453156
7,6,7,10,3.6429665
3,5,5,3,3.6341999
1,7,7,2,3.62679
9,2,5,5,3.6191385
9,2,6,6,3.6161413
2,10,6,3,3.6077461
4,5,4,5,3.6075451
3,5,9,5,3.5857832
8,7,1,8,3.573849
3,9,9,7,3.5732105
5,1,1,7,3.5711281
9,6,7,8,3.5435658
4,3,3,9,3.5355637
1,7,2,9,3.529222
8,1,4,5,3.5101264
4,8,7,5,3.4993577
9,9,9,4,3.4686646
10,1,1,2,3.453159
8,5,7,7,3.4418423
6,6,7,5,3.4309256
8,10,9,9,3.4283214
8,6,3,4,3.4222422
4,3,3,6,3.4210804
9,2,10,10,3.42006
10,2,2,7,3.4196563
5,1,1,2,3.3893318
7,1,5,8,3.3790069
10,4,1,2,3.3699427
4,2,7,7,3.3653333
9,4,5,5,3.3522208
1,7,1,8,3.307219
10,5,7,7,3.302132
5,7,10,4,3.301375
3,6,6,8,3.300486
9,1,10,10,3.2884398
4,7,7,5,3.2858903
8,3,6,10,3.284307
2,7,2,9,3.2628963
6,1,2,9,3.2506413
9,8,5,9,3.2435634
7,2,2,10,3.2302227
8,10,10,9,3.2288702
7,1,4,5,3.2170365
4,9,9,7,3.2134824
10,6,3,4,3.2090456
9,10,4,4,3.205076
4,4,10,5,3.2002144
9,4,8,8,3.2000349
4,4,1,6,3.194202
5,3,3,9,3.1934297
10,4,3,3,3.157761
9,4,7,7,3.1430616
9,5,8,1,3.1301112
1,4,8,8,3.1110098
6,9,8,8,3.1058896
6,1,10,7,3.0988111
9,8,10,10,3.0856075
3,5,6,6,3.0759087
10,3,3,8,3.0757072
6,6,9,3,3.073001
10,9,9,7,3.0666764
8,3,1,10,3.0645492
4,4,2,7,3.0601926
1,9,1,1,3.0543272
1,6,6,8,3.029103
10,4,4,7,3.0064416
9,9,9,8,2.9968393
5,7,10,6,2.9881654
6,3,3,9,2.985557
2,5,9,6,2.9797018
2,9,8,8,2.956701
6,1,5,8,2.9365826
1,7,5,9,2.9363816
3,5,9,6,2.9337068
5,2,2,10,2.933484
10,1,1,8,2.9292588
10,8,7,2,2.9212017
10,9,1,1,2.920434
9,6,2,2,2.9176373
5,3,6,10,2.917422
7,4,4,1,2.9096742
4,9,4,4,2.907551
4,7,9,6,2.8900201
1,7,3,8,2.8852367
1,4,4,1,2.8614478
2,5,9,5,2.8527308
4,7,2,9,2.851694
7,6,6,3,2.8457987
4,8,8,4,2.8438373
9,5,7,7,2.817737
1,5,5,1,2.793148
6,8,10,10,2.757507
6,4,4,1,2.7490966
9,3,6,6,2.7463024
4,4,1,8,2.7361825
5,10,9,9,2.7330425
9,9,8,3,2.71879
2,1,1,2,2.7166488
7,5,5,3,2.6899114
9,2,4,4,2.6884985
1,7,2,6,2.6732464
3,6,7,10,2.6655262
9,6,9,9,2.662049
8,10,10,4,2.6537685
4,3,8,6,2.6514995
9,1,3,3,2.6273966
3,10,8,3,2.6136186
3,7,7,5,2.6100752
10,9,8,8,2.6095798
8,4,4,1,2.6007962
5,1,2,9,2.598398
6,10,9,9,2.5939279
6,2,2,10,2.5886912
7,1,1,2,2.5885322
2,8,10,10,2.5808794
10,2,3,9,2.574509
10,1,4,5,2.5712702
3,6,9,9,2.5711122
3,6,7,9,2.5704606
6,5,7,7,2.56973
3,6,6,10,2.5687487
1,9,3,3,2.5614116
9,9,5,5,2.552444
7,6,3,6,2.5433934
3,7,3,8,2.5267618
7,9,3,3,2.5233603
8,10,8,3,2.5159202
3,10,10,4,2.5136995
10,6,3,6,2.5111513
8,3,5,1,2.5077727
4,3,6,10,2.5030115
7,6,1,2,2.4980612
9,9,7,3,2.4958613
2,3,3,9,2.4846578
4,3,1,10,2.4783368
9,6,5,10,2.4758742
6,6,7,6,2.4664497
9,1,8,8,2.4588542
5,7,7,2,2.4557323
6,3,3,6,2.4492865
6,5,9,5,2.4450827
5,2,7,7,2.4402897
2,7,3,8,2.4323301
2,7,9,6,2.431267
3,7,7,2,2.4298491
9,10,1,1,2.428198
5,3,3,6,2.4252512
2,1,2,9,2.4245162
3,10,10,9,2.411341
2,5,7,7,2.410914
5,4,4,1,2.403691
3,9,7,7,2.400133
6,9,4,4,2.396756
7,8,10,10,2.3919728
6,1,5,2,2.3907151
1,2,2,10,2.3895829
2,5,5,3,2.387422
3,9,6,1,2.387279
1,6,9,9,2.3865087
9,4,6,6,2.3549428
9,5,5,8,2.3442101
5,2,2,7,2.3416412
6,1,6,6,2.340624
6,6,2,6,2.3214357
9,8,8,2,2.318723
8,4,1,2,2.318682
9,3,7,7,2.3062239
1,1,2,1,2.3032765
1,6,7,9,2.2999136
4,5,7,7,2.2991018
3,2,2,10,2.2946138
9,8,8,9,2.283392
2,7,2,6,2.2795517
2,1,1,10,2.2776668
9,7,8,2,2.2710567
9,3,3,4,2.255571
3,3,1,4,2.2523975
3,8,8,10,2.252359
1,6,7,10,2.2489152
2,9,7,7,2.2489073
2,7,10,3,2.2387154
7,6,3,4,2.234419
7,6,9,9,2.2326167
9,7,6,6,2.2170935
5,7,7,5,2.215227
1,1,8,4,2.2069929
5,2,3,9,2.203683
2,6,3,4,2.2016258
2,1,1,8,2.199223
1,3,3,8,2.1809583
9,5,5,9,2.1674328
3,9,10,10,2.1666894
4,9,7,7,2.1544235
7,1,1,8,2.1487794
7,1,1,10,2.1422586
2,7,6,4,2.138747
4,5,5,1,2.136031
1,5,9,5,2.1340148
7,5,4,5,2.1328328
4,7,3,8,2.131795
1,1,1,6,2.1281629
1,8,8,4,2.1273866
5,9,10,10,2.125275
2,6,6,8,2.1252143
6,4,3,3,2.124822
8,5,5,1,2.1184733
3,7,2,9,2.1058846
5,3,1,10,2.1052206
2,5,5,1,2.104344
5,6,7,9,2.0959637
10,6,9,9,2.0734828
3,10,6,5,2.0416727
1,5,7,7,2.0363946
7,5,9,5,2.035437
3,1,1,7,2.0337186
9,2,8,6,2.0304682
5,1,1,9,2.029246
2,7,1,8,2.0253937
6,5,5,3,2.0188346
6,7,5,9,2.0176597
8,10,6,5,2.0132706
10,5,5,1,2.0010202
2,1,1,9,1.9989545
3,7,9,6,1.992961
10,4,8,8,1.9853858
3,2,7,7,1.9840845
9,8,8,1,1.9779615
3,9,8,8,1.9711026
5,6,10,9,1.9694846
2,4,3,3,1.967633
6,3,1,10,1.955993
1,4,1,2,1.9544551
4,7,6,4,1.947776
5,1,10,7,1.9356107
10,8,7,5,1.9256843
9,3,9,9,1.9201481
7,8,4,10,1.9118233
10,1,9,4,1.9113429
2,6,6,10,1.8871591
5,6,6,8,1.8659588
9,3,8,8,1.8632861
6,4,8,8,1.8511971
5,2,4,6,1.8413368
1,2,2,7,1.8344064
5,4,3,3,1.8336736
2,1,5,2,1.8151076
3,6,3,6,1.7961004
9,5,2,2,1.7959028
4,1,1,2,1.7891012
4,4,5,7,1.7879153
2,6,6,9,1.7848957
9,8,6,5,1.7845021
6,3,6,10,1.7834208
9,5,10,10,1.7684635
6,1,4,5,1.7644322
4,6,7,10,1.7587909
3,10,1,10,1.7549297
7,2,10,6,1.7494049
10,5,9,5,1.7452867
7,4,8,8,1.739955
9,10,10,7,1.7334884
9,8,8,3,1.7289749
9,7,10,10,1.725921
6,3,8,6,1.7257648
6,4,1,2,1.7061775
9,2,2,5,1.7053866
9,5,5,10,1.7043949
6,1,1,10,1.7043934
5,7,2,9,1.6853514
7,4,1,2,1.6817858
10,4,6,5,1.68047
5,6,6,10,1.6746253
3,10,6,3,1.6720144
6,1,1,2,1.665626
7,4,4,7,1.6530381
5,1,1,10,1.6479366
5,1,5,8,1.6475159
10,4,6,7,1.6449554
3,8,3,9,1.6399789
5,7,5,9,1.638129
1,5,5,3,1.6306623
4,7,10,3,1.6267439
5,8,8,4,1.6204565
10,4,7,8,1.6197354
9,9,4,4,1.619331
3,1,5,2,1.6143988
7,2,5,10,1.6088012
6,5,9,6,1.6073518
5,1,5,2,1.6001538
10,5,9,6,1.596186
9,2,2,3,1.5958765
9,10,10,1,1.59055
4,6,6,8,1.5854805
1,3,3,9,1.58012
3,7,1,8,1.5770874
9,1,1,10,1.5755875
3,5,5,1,1.5708009
8,4,5,8,1.5652286
7,9,1,1,1.5621623
8,9,3,3,1.5581876
10,9,10,10,1.5545521
2,5,4,5,1.5525494
5,9,3,3,1.5486895
6,4,4,7,1.5447685
3,7,6,4,1.5390167
8,5,6,6,1.537801
10,1,4,1,1.5372608
2,6,10,9,1.5326086
2,6,7,9,1.5313617
2,3,3,6,1.5291548
6,1,1,4,1.5268315
4,4,2,3,1.5237774
4,7,2,6,1.5226
5,7,2,6,1.5204173
9,10,2,2,1.5158771
5,7,3,8,1.5082785
4,9,3,3,1.5059063
8,3,5,8,1.4943959
8,1,1,2,1.4942732
4,6,7,9,1.4936595
4,7,1,8,1.493499
3,7,2,6,1.4888412
6,2,2,6,1.4778795
8,10,1,10,1.4771471
2,5,7,3,1.476263
9,1,5,2,1.4750535
10,5,5,3,1.4716773
5,7,6,4,1.4710633
5,4,4,7,1.4702276
3,1,2,9,1.4661578
1,2,10,6,1.4625801
4,6,6,10,1.4588594
1,5,4,5,1.457098
8,4,4,7,1.4563082
2,6,6,7,1.4534049
6,9,10,10,1.4476609
9,1,1,7,1.4438024
5,3,8,6,1.4428899
2,6,7,10,1.429335
2,3,1,10,1.4266118
8,5,9,8,1.4229412
3,10,6,8,1.4182729
4,5,5,4,1.4154365
5,1,1,8,1.4110494
2,7,4,6,1.405945
6,5,1,9,1.4027882
8,3,5,10,1.402325
9,9,8,4,1.3917397
9,1,6,6,1.3917011
2,1,5,8,1.3867972
2,3,6,10,1.384798
7,7,4,10,1.3847789
4,2,5,10,1.383683
9,6,10,1,1.3803141
8,1,6,6,1.3800755
9,7,1,1,1.3771882
5,9,7,7,1.3701167
5,2,10,6,1.3598562
5,10,9,6,1.3545436
1,2,5,10,1.3407396
1,6,3,6,1.3258233
10,3,3,9,1.3180982
9,9,6,8,1.3178855
9,5,7,3,1.3105901
9,3,10,1,1.3094106
10,1,3,8,1.3081247
7,5,9,6,1.3071831
9,1,5,8,1.3061886
5,7,9,6,1.3043416
1,5,9,6,1.3035417
3,2,2,7,1.2994986
4,1,1,10,1.2993511
8,1,1,8,1.2984786
8,3,5,4,1.2962852
8,1,1,10,1.2926956
7,1,9,4,1.2864649
1,2,2,6,1.2795426
6,2,2,7,1.277279
3,5,4,5,1.2767922
6,2,3,9,1.2762154
4,1,6,6,1.2756362
6,2,10,6,1.2727495
3,2,2,6,1.2724835
9,3,5,5,1.2616564
8,3,8,3,1.2588481
9,7,3,3,1.2575915
8,10,6,3,1.2552168
9,5,1,9,1.2540895
10,2,5,10,1.2512608
2,4,8,8,1.2505227
7,6,4,1,1.2503948
7,2,6,9,1.2468319
9,2,2,9,1.2465385
5,3,5,8,1.2409643
5,7,10,3,1.2360824
3,2,1,1,1.225267
10,6,2,3,1.221545
9,5,9,5,1.2160234
4,10,5,5,1.2158962
7,8,8,4,1.2130895
3,8,9,3,1.2112322
9,5,5,3,1.2091303
10,3,3,6,1.2084949
7,1,3,8,1.2051964
8,3,3,5,1.2050827
10,3,1,10,1.2035848
9,2,2,10,1.1970389
6,5,5,1,1.193463
4,8,3,9,1.1931081
1,6,6,10,1.1861744
3,5,7,7,1.1814106
2,1,10,7,1.1767169
6,1,7,9,1.1760461
5,3,8,3,1.1724832
10,5,1,9,1.1709428
9,9,9,5,1.1682959
5,1,9,4,1.1650856
1,4,4,7,1.1648629
9,10,10,6,1.1628237
7,9,4,4,1.1619451
2,1,1,4,1.1600115
5,4,1,2,1.1585741
6,5,4,5,1.1565461
10,5,4,5,1.1563761
