Target,Neibour,I,J,Value
6,2,2,2,186.56323
10,10,10,4,186.17735
10,8,8,8,183.5169
6,6,3,3,183.35574
6,8,5,9,182.15715
2,5,3,3,182.03319
4,2,8,8,181.87079
5,2,8,6,180.62859
2,6,6,6,179.6814
10,2,10,10,179.50468
10,7,10,10,179.27037
2,4,5,5,178.74532
10,1,10,10,178.50371
7,8,4,4,177.51819
8,4,4,4,177.24155
8,10,10,10,175.95267
4,8,8,8,175.0139
7,7,5,5,173.77031
10,5,10,10,172.61249
8,5,1,1,171.46785
10,7,4,4,171.4544
7,7,9,9,170.3124
1,1,2,2,170.29515
7,8,2,2,170.036
8,8,7,5,167.60646
10,10,6,5,167.37578
7,4,9,9,166.3866
7,7,8,4,161.63245
3,3,5,5,161.2688
3,6,5,5,161.0609
7,7,10,6,159.75526
7,10,6,6,158.71454
8,4,7,7,158.26482
1,1,4,4,157.83919
8,8,9,9,157.29846
4,7,9,9,155.92148
5,7,7,7,155.88356
4,10,4,4,155.88274
6,4,10,7,155.33548
5,1,1,1,153.43755
4,1,5,5,153.30125
10,5,6,6,152.98723
8,3,8,8,150.89894
3,3,8,8,150.89847
4,3,6,6,149.28624
6,5,8,8,148.9847
8,6,7,8,148.05646
5,2,2,5,147.34825
9,9,6,1,146.26202
7,1,3,3,145.92152
7,3,6,6,145.5836
4,8,4,4,145.47351
1,6,7,7,145.15166
7,6,10,10,143.94453
10,3,3,3,143.04013
5,6,1,1,142.44122
7,8,9,9,142.25005
7,7,7,2,140.66621
3,3,1,1,140.34978
10,10,6,3,139.55222
1,1,1,9,139.1612
10,10,1,10,137.9647
3,10,7,7,137.60158
7,7,7,5,137.55148
9,9,9,7,137.37988
4,3,7,7,136.29692
1,4,1,1,134.64493
10,10,6,8,134.30798
1,3,3,4,133.92699
2,7,4,4,131.83748
2,5,5,9,129.42891
3,3,3,8,128.33406
7,7,2,9,128.16537
8,3,10,10,127.09962
4,8,9,9,126.97183
3,3,6,6,126.35214
1,1,1,7,126.31885
5,6,7,7,126.22208
7,1,9,9,125.27921
7,5,8,8,124.54204
4,7,8,8,124.257126
1,10,1,1,123.83806
4,1,4,4,123.74028
7,2,8,6,122.676445
10,6,10,10,122.45289
3,7,8,8,122.35131
7,7,3,8,121.528244
5,2,3,3,121.3525
2,6,7,8,121.25722
10,4,1,1,121.13645
7,8,5,9,119.978455
3,8,6,6,119.236374
6,1,3,3,119.15114
2,1,1,1,118.682846
10,1,4,4,118.24751
5,8,9,9,118.023994
10,2,6,6,118.01433
2,4,1,1,117.38042
8,2,8,8,115.097946
8,6,8,8,114.81942
2,2,9,9,114.242546
4,2,5,5,113.70481
1,4,9,9,113.621956
7,8,7,7,112.53167
7,3,1,1,112.43502
5,5,4,4,112.33282
3,4,9,9,111.61426
6,8,9,9,111.44648
10,4,9,9,110.43597
4,2,10,10,110.25837
7,8,6,6,109.73643
7,7,9,6,108.14206
10,2,8,8,106.086
2,2,6,6,105.379
3,2,3,3,105.30087
10,6,7,7,105.121025
10,1,8,8,104.776665
10,5,1,1,104.33528
7,7,6,4,103.82911
1,3,10,10,103.298454
2,2,5,5,102.93618
6,7,8,8,102.476494
5,6,4,4,102.38226
7,4,2,2,102.195564
5,5,5,8,101.98605
6,5,3,3,101.60619
2,5,5,10,100.38722
5,6,8,8,99.55623
1,1,10,10,99.37489
6,6,10,10,98.48776
3,6,6,1,98.36497
5,8,5,5,98.248924
4,10,10,7,98.17711
3,2,8,8,97.85466
10,5,8,8,97.58019
3,6,1,1,97.32214
5,4,5,5,97.203835
7,4,1,1,97.1141
7,6,5,5,96.91327
8,3,3,4,96.01616
2,2,4,4,95.9464
3,6,7,8,95.75743
3,4,5,5,94.7941
10,7,7,8,92.93045
1,4,5,5,92.74811
7,10,10,7,92.58832
7,4,7,7,92.5471
10,8,9,9,92.299355
4,3,10,1,91.76834
1,8,1,1,91.41149
5,10,6,6,91.25368
10,10,7,7,90.60408
2,8,5,5,88.79223
8,7,7,8,88.649414
7,7,2,6,88.53918
7,7,5,9,88.047066
5,4,10,10,88.02174
1,6,5,5,87.91234
7,7,10,3,87.69721
2,5,5,2,87.22129
8,8,3,3,86.327
2,6,5,5,86.13743
1,8,6,6,86.08289
2,3,10,10,86.02736
7,6,1,1,85.75228
4,3,9,9,85.70808
3,3,3,9,84.83412
8,7,4,2,84.7303
10,6,3,3,84.600525
6,10,6,6,84.16984
10,4,5,5,83.40245
4,10,6,6,83.396225
8,6,6,1,83.24945
8,6,4,4,83.23151
6,7,10,10,81.685684
7,7,1,8,80.554535
8,6,1,1,80.43511
2,8,9,9,80.39508
4,4,6,6,80.191986
1,2,8,6,79.72187
5,6,6,1,79.3634
6,8,4,4,78.42328
7,3,7,7,78.0101
5,5,2,2,76.64259
2,4,9,9,76.06228
3,3,9,9,75.91323
3,8,9,9,75.49359
10,3,4,4,75.48926
5,7,8,8,75.39828
4,3,7,6,74.963036
1,7,8,8,74.06848
7,4,6,6,73.981064
10,7,2,2,73.876434
4,2,2,5,73.68149
6,5,5,9,73.43931
5,8,6,6,73.257614
8,3,7,7,72.83476
1,3,7,7,72.70513
7,2,7,7,72.44721
3,3,4,4,71.70532
7,6,4,4,71.380516
10,7,4,2,71.346535
3,4,7,7,70.9607
3,8,5,9,70.96057
1,10,6,6,70.59359
1,5,1,1,70.52399
2,5,8,1,70.33591
6,2,6,6,70.182236
4,2,8,6,70.10788
5,6,7,8,69.936554
6,6,3,4,69.869125
2,3,3,4,69.69371
7,6,8,8,69.48578
1,6,4,4,69.21132
8,7,10,10,68.34701
10,6,1,1,68.3336
5,9,9,9,68.089806
10,6,5,5,67.90563
4,2,3,3,67.40851
3,2,6,6,67.07312
6,8,7,7,66.3382
8,10,7,7,66.239555
3,4,4,2,66.09338
10,10,9,9,65.57979
10,4,10,7,65.54359
5,10,10,7,65.15469
8,5,3,3,64.65964
4,6,5,5,64.048225
10,7,6,6,63.760826
6,7,4,4,62.926674
4,6,1,1,62.849594
8,4,10,10,62.363102
6,6,8,8,62.01879
3,6,4,4,61.868206
8,2,3,3,61.768047
3,5,3,3,61.42894
2,2,10,10,60.99583
5,2,2,3,60.39684
10,10,4,4,59.952667
8,9,9,9,59.868748
9,7,2,2,59.688114
2,10,6,6,59.45751
1,6,8,8,59.40019
2,9,9,9,59.388023
5,3,10,10,59.360638
2,4,10,7,59.251205
8,7,6,6,59.241463
1,8,2,2,59.080956
6,6,6,8,58.996773
4,5,8,8,58.83695
3,8,4,4,58.51086
6,7,2,2,58.445026
4,6,4,4,58.3634
10,6,4,4,57.953857
1,7,4,4,57.901783
4,6,10,10,57.596413
1,1,5,2,57.386967
3,1,1,3,57.303974
7,2,3,3,57.251125
1,1,2,9,57.149075
10,8,5,5,57.13062
2,3,4,4,56.96766
10,4,4,2,56.812393
1,8,4,4,56.802853
5,8,2,2,56.728687
2,8,4,4,56.35771
9,8,6,6,56.19253
5,6,5,10,56.152786
3,7,10,10,55.960526
7,8,8,6,55.559456
7,4,5,5,55.29098
6,4,1,1,55.172024
6,5,5,10,55.149002
2,7,10,10,55.117176
5,5,5,3,55.09709
1,10,10,7,55.009834
6,4,9,9,54.844776
1,4,10,7,54.79041
1,6,6,1,54.74378
8,7,8,2,54.69617
2,7,7,8,54.578445
2,7,4,2,53.920788
6,6,6,10,53.85241
4,7,10,10,53.802303
5,8,4,4,53.733128
9,4,10,10,53.636192
6,8,2,2,53.572926
3,7,4,2,53.493664
4,7,6,6,53.43316
2,2,2,10,53.10896
8,8,10,10,52.97994
5,5,9,5,52.130974
5,2,3,8,52.044918
2,4,4,2,52.044815
5,2,2,9,51.884506
6,5,5,2,51.80263
4,8,5,5,51.727047
7,5,1,1,51.67545
6,5,8,1,51.46947
7,6,6,1,51.413765
10,2,3,3,51.001534
3,7,6,6,50.87181
8,3,4,4,50.61109
4,10,8,8,50.42109
6,6,7,9,50.3765
7,4,10,7,50.345207
9,5,9,9,50.317165
6,8,8,6,50.074184
8,2,2,5,49.824104
5,6,6,5,49.773907
2,3,7,7,49.735374
8,4,1,1,49.310005
1,6,7,8,49.091908
10,3,1,1,48.87072
1,1,10,7,48.620434
8,10,8,8,48.5878
3,5,8,8,48.437767
1,1,8,8,48.334747
5,5,10,10,48.271976
7,9,9,9,48.265816
3,3,3,6,48.262016
10,2,2,5,48.0528
2,8,6,6,47.80933
3,6,5,10,47.778084
8,1,7,7,47.76186
7,10,1,1,47.699184
5,6,4,10,47.513405
1,7,2,2,47.234303
3,8,2,2,47.126682
2,6,10,10,47.10864
7,2,2,5,47.090607
3,7,3,3,46.65348
1,8,8,6,46.535355
9,7,7,7,46.23352
4,7,7,8,46.105732
5,2,6,6,46.08227
1,10,8,8,46.068256
10,8,4,4,45.965626
2,7,2,2,45.90763
7,10,3,3,45.697723
1,9,9,9,45.659138
3,8,3,3,45.596996
7,1,5,5,45.311554
4,7,4,2,45.197437
8,5,9,9,45.161045
8,3,10,1,45.09995
2,7,8,2,45.06869
5,5,5,1,45.057888
3,8,7,7,44.990368
10,5,5,10,44.796265
4,4,4,1,44.54224
7,8,1,1,44.421684
1,5,5,9,44.36445
6,6,7,10,44.344574
2,10,7,7,44.002846
2,6,4,4,43.998306
2,3,1,1,43.815296
6,1,7,7,43.80963
7,3,10,1,43.79453
10,7,1,1,43.64079
3,2,2,5,43.48957
6,3,6,6,43.10351
10,8,6,6,43.085655
5,4,9,9,43.00981
2,7,6,6,42.990208
7,6,7,8,42.922638
7,2,6,6,42.912224
