Target,Neibour,neibour_inverse,Neibour-start,start_inverse,Neibour-end,end_inverse,Score
1,0,0,0,0,2,0,235
7,0,0,-3,1,0,0,234
2,2,0,-3,1,-3,1,231
7,-1,1,0,0,1,0,231
10,4,1,0,0,-3,1,229
3,1,1,0,0,-1,0,227
3,0,1,2,1,2,1,227
10,3,0,-1,0,-1,0,226
4,-3,0,2,0,2,0,225
3,2,1,-1,0,-1,0,225
3,2,0,0,0,0,0,225
6,-2,1,0,0,1,0,224
1,0,0,2,0,2,0,220
4,0,0,-3,1,-2,1,218
5,-2,0,0,0,0,0,218
10,0,0,2,0,2,1,217
7,0,0,0,0,-3,0,216
2,1,1,-1,1,-1,1,216
7,-1,1,-2,1,-2,1,215
4,0,0,1,0,-2,0,214
1,1,0,0,0,0,0,214
8,0,0,1,1,0,1,214
4,0,0,0,0,-1,0,213
9,0,0,0,1,0,1,211
7,0,0,0,0,-1,1,210
2,2,0,0,1,0,1,209
3,1,0,-3,1,0,1,207
10,4,1,-2,0,-2,0,206
5,-1,0,0,0,0,0,204
7,0,0,-3,0,0,1,202
8,-2,1,4,0,4,0,202
4,-3,0,0,0,0,0,201
1,3,0,-3,1,-3,1,199
10,0,0,0,0,1,0,196
7,1,0,-1,0,-1,0,195
9,0,0,3,0,3,0,190
2,3,0,-4,0,-4,0,189
4,-1,0,-2,1,-2,1,188
8,0,0,1,0,-1,1,188
6,-3,1,0,0,0,0,186
10,0,0,0,0,3,1,186
10,2,0,0,0,0,0,183
6,0,0,-2,1,-2,1,183
6,-2,0,2,1,-1,0,182
2,3,0,-2,0,-2,0,182
4,-2,0,1,1,1,1,181
5,-3,0,1,1,3,1,180
2,3,1,0,0,0,0,179
10,1,1,-1,1,-1,1,179
10,3,0,-3,0,-3,0,179
2,2,0,1,0,1,0,178
10,0,1,0,1,0,1,178
7,-1,0,1,1,1,1,177
8,1,1,0,0,0,0,177
8,-2,0,0,0,0,0,175
4,-1,1,0,0,0,0,175
7,0,0,1,1,1,1,173
10,4,1,-4,1,-4,1,172
8,2,1,-4,0,-4,0,171
10,3,0,0,1,0,1,171
7,0,0,-2,0,-2,0,170
1,0,0,1,0,1,0,170
7,-1,0,-1,1,-1,1,170
8,0,0,1,0,2,1,167
10,0,0,4,0,4,1,167
7,0,1,-2,1,-2,1,166
7,0,0,-1,0,0,1,161
3,0,0,2,0,2,0,161
3,2,1,0,1,0,1,161
7,0,0,-3,0,1,0,159
7,-3,0,4,0,4,0,158
8,1,1,0,1,0,1,158
1,0,0,3,0,3,0,157
8,0,0,-1,0,-1,0,157
4,0,1,-2,0,-2,0,155
5,-1,1,0,0,0,0,155
4,-3,1,3,1,3,1,155
6,-1,1,-3,1,0,1,155
5,-4,0,0,0,0,0,153
4,-3,0,4,0,4,0,153
10,4,1,0,1,0,1,152
8,0,1,0,1,0,1,150
3,0,0,0,1,0,1,150
4,-1,0,2,1,2,1,149
6,0,1,-2,1,-2,1,148
8,2,0,-1,0,-2,0,148
5,-3,0,0,0,3,0,147
9,0,0,3,0,-1,1,146
7,-3,1,2,0,2,0,145
7,-1,1,2,1,2,1,145
4,-1,1,1,1,1,1,145
1,4,1,-1,0,-1,0,145
7,1,0,-4,0,-4,0,143
10,2,1,0,0,0,0,143
5,0,1,-4,1,-4,1,142
7,-1,0,-1,0,-1,0,142
7,0,0,0,0,-2,1,140
3,0,0,-2,0,-2,0,140
10,0,0,4,0,2,1,139
1,0,0,0,0,1,1,139
10,0,0,0,1,0,0,137
3,-2,1,3,0,3,0,137
7,0,0,0,0,1,1,137
9,0,0,0,0,2,0,137
4,-1,0,1,1,1,1,136
1,3,0,-3,0,-3,0,134
10,0,0,4,0,2,0,134
1,2,0,0,0,1,0,133
2,2,1,0,1,0,1,131
2,3,0,0,0,-3,1,129
3,0,0,0,0,0,1,128
