Value,First Occurrence Position
4,"(583542, 0)"
0,"(584837, 0)"
2,"(586742, 0)"
0,"(588036, 0)"
1,"(590536, 0)"
0,"(591841, 0)"
5,"(594230, 0)"
0,"(595523, 0)"
1,"(597831, 0)"
0,"(599127, 0)"
2,"(600888, 0)"
0,"(602184, 0)"
1,"(604374, 0)"
0,"(605679, 0)"
1,"(607912, 0)"
0,"(609205, 0)"
3,"(611375, 0)"
0,"(612668, 0)"
4,"(614960, 0)"
0,"(616256, 0)"
5,"(618674, 0)"
0,"(619969, 0)"
4,"(621809, 0)"
0,"(623106, 0)"
1,"(624809, 0)"
0,"(626116, 0)"
3,"(628363, 0)"
0,"(629658, 0)"
5,"(631638, 0)"
0,"(632934, 0)"
4,"(635055, 0)"
0,"(636349, 0)"
5,"(638723, 0)"
0,"(640016, 0)"
1,"(642106, 0)"
0,"(643401, 0)"
5,"(645149, 0)"
0,"(646443, 0)"
3,"(647987, 0)"
0,"(649284, 0)"
5,"(650952, 0)"
0,"(652248, 0)"
3,"(654472, 0)"
0,"(655773, 0)"
1,"(657754, 0)"
0,"(659049, 0)"
1,"(661233, 0)"
0,"(662512, 0)"
3,"(664087, 0)"
0,"(665383, 0)"
5,"(666993, 0)"
0,"(668286, 0)"
4,"(670610, 0)"
0,"(671903, 0)"
4,"(673559, 0)"
0,"(674837, 0)"
5,"(676867, 0)"
0,"(678160, 0)"
5,"(680312, 0)"
0,"(681592, 0)"
3,"(683559, 0)"
0,"(684852, 0)"
1,"(687197, 0)"
0,"(688489, 0)"
1,"(690125, 0)"
0,"(691405, 0)"
5,"(693307, 0)"
0,"(694603, 0)"
1,"(696916, 0)"
0,"(698223, 0)"
3,"(700129, 0)"
0,"(701436, 0)"
4,"(703356, 0)"
0,"(704650, 0)"
2,"(706790, 0)"
0,"(708084, 0)"
1,"(710025, 0)"
0,"(711327, 0)"
1,"(713822, 0)"
0,"(715102, 0)"
2,"(716728, 0)"
0,"(718021, 0)"
3,"(719722, 0)"
0,"(721015, 0)"
5,"(722859, 0)"
0,"(724151, 0)"
1,"(726584, 0)"
0,"(727880, 0)"
2,"(730128, 0)"
0,"(731437, 0)"
3,"(733372, 0)"
0,"(734667, 0)"
3,"(737115, 0)"
0,"(738395, 0)"
2,"(740891, 0)"
0,"(742186, 0)"
4,"(744400, 0)"
0,"(745695, 0)"
4,"(747742, 0)"
0,"(749019, 0)"
1,"(751198, 0)"
0,"(752498, 0)"
5,"(754137, 0)"
0,"(755430, 0)"
1,"(757116, 0)"
0,"(758411, 0)"
5,"(760485, 0)"
0,"(761780, 0)"
1,"(763969, 0)"
0,"(765274, 0)"
3,"(767149, 0)"
0,"(768442, 0)"
1,"(770943, 0)"
0,"(772249, 0)"
4,"(774625, 0)"
0,"(775931, 0)"
1,"(777818, 0)"
0,"(779114, 0)"
3,"(781048, 0)"
0,"(782342, 0)"
3,"(783964, 0)"
0,"(785244, 0)"
2,"(786975, 0)"
0,"(788271, 0)"
2,"(790363, 0)"
0,"(791640, 0)"
4,"(793441, 0)"
0,"(794744, 0)"
5,"(796523, 0)"
0,"(797834, 0)"
4,"(800330, 0)"
0,"(801625, 0)"
3,"(803481, 0)"
0,"(804777, 0)"
5,"(806398, 0)"
0,"(807694, 0)"
5,"(810085, 0)"
0,"(811376, 0)"
3,"(813147, 0)"
0,"(814448, 0)"
3,"(815983, 0)"
0,"(817273, 0)"
1,"(819098, 0)"
0,"(820393, 0)"
3,"(822076, 0)"
0,"(823372, 0)"
3,"(824979, 0)"
0,"(826259, 0)"
4,"(828240, 0)"
0,"(829534, 0)"
4,"(831736, 0)"
0,"(833013, 0)"
1,"(834558, 0)"
0,"(835853, 0)"
3,"(837677, 0)"
0,"(838973, 0)"
3,"(841140, 0)"
0,"(842421, 0)"
4,"(844748, 0)"
0,"(846040, 0)"
3,"(848521, 0)"
0,"(849815, 0)"
1,"(851660, 0)"
0,"(852966, 0)"
4,"(855090, 0)"
0,"(856399, 0)"
1,"(858335, 0)"
0,"(859629, 0)"
1,"(861409, 0)"
0,"(862688, 0)"
3,"(864480, 0)"
0,"(865775, 0)"
3,"(867803, 0)"
0,"(869080, 0)"
3,"(871467, 0)"
0,"(872746, 0)"
4,"(875198, 0)"
0,"(876494, 0)"
2,"(878963, 0)"
0,"(880255, 0)"
2,"(882436, 0)"
0,"(883718, 0)"
4,"(885899, 0)"
0,"(887195, 0)"
2,"(888775, 0)"
0,"(890066, 0)"
4,"(891796, 0)"
0,"(893108, 0)"
2,"(895463, 0)"
0,"(896758, 0)"
4,"(899051, 0)"
0,"(900346, 0)"
4,"(901864, 0)"
0,"(903155, 0)"
5,"(905045, 0)"
