1369865.831699,4,4
1369866.928614,8,2
1369868.011578,400,3
1369869.086404,400,4
1369870.193749,9,2
1369871.304164,6,3
1369872.404019,7,1
1369873.476388,5,4
1369874.549731,0,1
1369875.682892,2,3
1369876.777092,3,4
1369877.853775,1,3
1369878.907276,100,4
1369884.980984,2,1
1369886.067527,400,4
1369887.112160,7,2
1369888.175998,1,1
1369889.252233,4,1
1369890.330491,9,4
1369891.394530,0,1
1369892.492542,8,3
1369893.557873,6,1
1369894.615820,400,1
1369895.664165,3,4
1369896.716275,5,4
1369897.784160,100,4
1369903.878963,0,3
1369904.941690,400,3
1369906.018424,3,4
1369907.085106,9,4
1369908.162336,6,4
1369909.244012,5,4
1369910.330356,4,4
1369911.400461,1,3
1369912.463697,2,2
1369913.527447,7,3
1369914.609910,8,1
1369915.714323,400,2
1369916.763457,100,4
1369922.856665,400,1
1369923.936139,7,1
1369925.016974,0,4
1369926.095287,6,2
1369927.159581,2,2
1369928.237956,400,3
1369929.332182,4,1
1369930.397560,1,2
1369931.478097,8,3
1369932.537814,5,3
1369933.622183,9,1
1369934.717721,3,2
1369935.777527,100,4
1369941.919105,1,3
1369942.995936,4,3
1369944.065943,2,1
1369945.134723,400,3
1369946.206859,400,4
1369947.277898,3,1
1369948.351341,9,2
1369949.416193,0,2
1369950.493824,6,4
1369951.570659,8,2
1369952.663160,5,2
1369953.745555,7,1
1369954.813939,100,4
1369960.916997,9,3
1369961.995802,6,2
1369963.057780,8,2
1369964.137501,4,4
1369965.199092,7,1
1369966.261354,5,4
1369967.341994,400,4
1369968.393267,1,2
1369969.443291,400,4
1369970.516164,0,3
1369971.584109,3,3
1369972.691021,2,3
1369973.727985,100,4
1369979.855575,2,1
1369980.935906,8,3
1369981.997470,7,1
1369983.071926,0,4
1369984.141553,400,4
1369985.205653,3,3
1369986.276495,4,4
1369987.343796,1,1
1369988.412962,6,1
1369989.479720,9,2
1369990.557690,5,4
1369991.642070,400,3
1369992.708600,100,4
1369998.798938,3,3
1369999.865391,4,4
1370000.954324,7,1
1370002.026387,2,2
1370003.092974,5,4
1370004.169479,0,2
1370005.260079,400,1
1370006.324380,400,1
1370007.388642,6,3
1370008.455072,1,2
