1370289.314221,6,3
1370290.409784,1,4
1370291.518244,2,1
1370292.624673,4,1
1370293.694238,9,2
1370294.787990,3,3
1370295.869698,7,2
1370296.952530,8,2
1370298.059570,400,3
1370299.142754,5,1
1370300.204327,400,2
1370301.311740,0,4
1370302.361505,100,4
1370308.470768,9,2
1370309.542443,3,2
1370310.631862,7,3
1370311.705557,400,1
1370312.758041,1,2
1370313.818890,5,4
1370314.873382,4,2
1370315.932353,400,4
1370316.981259,8,4
1370318.025394,0,2
1370319.084812,6,4
1370320.134155,2,4
1370321.188983,100,4
1370327.290828,3,4
1370328.384226,400,1
1370329.467486,7,4
1370330.556804,0,1
1370331.623484,2,1
1370332.694248,400,4
1370333.780401,4,2
1370334.843775,5,4
1370335.920791,8,1
1370336.987934,6,1
1370338.050286,9,4
1370339.116755,1,2
1370340.177344,100,4
1370346.304408,400,3
1370347.359698,5,3
1370348.424773,6,4
1370349.501845,4,1
1370350.574041,7,4
1370351.645294,3,2
1370352.724251,0,2
1370353.783545,8,2
1370354.850273,9,2
1370355.903976,1,2
1370356.999321,2,2
1370358.061779,400,1
1370359.121204,100,4
1370365.202408,6,4
1370366.292276,7,1
1370367.353579,1,1
1370368.446873,3,3
1370369.545353,0,4
1370370.623271,4,1
1370371.703292,9,3
1370372.774474,2,3
1370373.847495,400,1
1370374.929724,400,4
1370375.998680,8,3
1370377.054820,5,4
1370378.081572,100,4
1370384.220594,5,1
1370385.301301,0,3
1370386.377665,400,4
1370387.452660,3,3
1370388.514105,7,1
1370389.598570,9,3
1370390.682831,400,1
1370391.795290,1,2
1370392.871374,8,2
1370393.942459,2,1
1370395.008316,4,4
1370396.080402,6,3
1370397.130397,100,4
1370403.250080,9,4
1370404.317474,3,1
1370405.382135,8,3
1370406.462493,7,4
1370407.516252,4,4
1370408.606493,0,2
1370409.696982,400,4
1370410.777770,6,3
1370411.850800,400,3
1370412.931112,5,3
1370414.013430,2,4
1370415.089169,1,1
1370416.131752,100,4
1370422.232469,6,4
1370423.298243,0,3
1370424.375049,8,4
1370425.445844,2,4
1370426.545701,3,4
1370427.614170,7,3
1370428.688559,4,4
1370429.764121,400,2
1370430.861687,9,2
1370431.927353,400,4
1370432.994203,5,1
1370434.075943,1,2
1370435.124524,100,4
1370441.224606,1,2
1370442.292508,5,2
1370443.356255,2,4
1370444.427587,4,3
1370445.480306,0,2
1370446.545677,3,3
1370447.607751,8,2
1370448.679621,9,1
1370449.753711,400,3
1370450.807664,7,1
1370451.877834,400,1
1370452.963348,6,1
1370454.001584,100,4
1370460.112834,2,3
1370461.175887,400,1
1370462.263994,5,4
1370463.316223,0,1
1370464.393318,7,1
1370465.472129,9,4
1370466.555036,3,2
1370467.629573,4,1
1370468.705191,1,1
1370469.761378,8,3
1370470.845394,6,3
1370471.914603,400,1
1370472.962752,100,4
1370479.052639,2,4
1370480.126535,8,3
1370481.189359,1,3
1370482.278307,9,3
1370483.338088,0,1
1370484.405307,5,4
1370485.480659,400,1
1370486.547722,4,4
1370487.633156,6,3
1370488.692421,400,4
1370489.765713,3,2
1370490.842660,7,3
1370491.907101,100,4
1370497.997415,2,4
1370499.080234,400,2
1370500.167553,8,2
1370501.238736,5,3
1370502.309573,0,4
1370503.388630,3,1
1370504.445600,400,2
1370505.509664,9,3
1370506.578946,7,4
1370507.644108,1,3
1370508.733273,6,1
1370509.809829,4,3
1370510.872503,100,4
1370517.001654,4,4
1370518.086379,9,3
1370519.161940,2,4
1370520.248514,7,1
1370521.311633,6,2
1370522.370989,5,2
1370523.439221,400,2
1370524.501177,400,1
1370525.564664,8,2
1370526.629386,0,2
1370527.714263,3,4
1370528.809246,1,4
1370529.889466,100,4
1370535.982775,8,3
1370537.046619,4,3
1370538.107403,2,4
1370539.176364,400,3
1370540.237515,6,2
1370541.310723,5,1
1370542.381683,1,3
1370543.445006,0,2
1370544.500162,400,2
1370545.574039,9,2
1370546.652226,3,4
1370547.727402,7,3
1370548.791126,100,4
1370554.896988,3,1
1370555.953930,6,3
1370557.031254,0,2
1370558.095988,9,3
1370559.150608,2,4
1370560.218358,5,3
1370561.308401,4,4
1370562.379501,8,1
1370563.455488,400,4
1370564.553539,1,4
1370565.637474,7,3
1370566.703148,400,2
1370567.771340,100,4
1370573.868221,400,3
1370574.951081,6,3
1370576.017772,2,3
1370577.102448,0,2
1370578.170169,400,1
1370579.260868,4,4
1370580.337438,8,4
1370581.396668,1,4
1370582.480121,5,1
1370583.559562,3,1
1370584.642324,9,3
1370585.720597,7,3
1370586.774746,100,4
1370592.900903,1,1
1370594.013369,5,2
1370595.094518,7,3
1370596.165901,2,2
1370597.231712,9,4
1370598.298590,4,4
1370599.402938,400,3
1370600.472502,400,3
1370601.548987,8,2
1370602.612868,6,3
1370603.685214,3,3
1370604.787120,0,4
1370605.857855,100,4
1370611.950086,8,4
1370613.027767,5,2
1370614.090377,400,4
1370615.166842,2,1
1370616.267240,0,3
1370617.337636,3,4
1370618.426233,4,2
1370619.527579,6,3
1370620.597346,7,1
1370621.700241,1,4
1370622.742120,9,4
1370623.776511,400,4
1370624.841926,100,4
1370630.942110,2,3
1370632.012827,400,1
1370633.106442,9,3
1370634.185230,6,3
1370635.266827,7,4
1370636.330904,0,1
1370637.406984,5,1
1370638.494040,8,4
1370639.572531,1,3
1370640.633595,400,3
1370641.693101,3,4
1370642.742256,4,2
1370643.801928,100,4
1370649.884551,400,3
1370650.964175,4,1
1370652.052186,3,2
1370653.127795,0,4
1370654.199815,1,4
1370655.281826,7,3
1370656.347181,9,1
1370657.413924,2,4
1370658.481719,8,1
1370659.556743,5,1
1370660.637850,400,1
1370661.696771,6,2
1370662.749766,100,4
