1368968.251404,2,3
1368969.350533,5,4
1368970.426704,8,4
1368971.534250,400,4
1368972.653162,3,3
1368973.720586,9,3
1368974.845960,1,2
1368975.961488,4,4
1368977.057034,6,1
1368978.157632,7,2
1368979.228825,400,4
1368980.319704,0,2
1368981.383331,100,4
1368987.487731,400,2
1368988.565967,400,1
1368989.634920,8,4
1368990.693118,2,4
1368991.763516,0,4
1368992.836591,9,1
1368993.914605,4,1
1368994.981552,7,1
1368996.050367,3,3
1368997.133179,6,2
1368998.212722,5,3
1368999.281214,1,1
1369000.323602,100,4
1369006.433283,400,2
1369007.572226,4,4
1369008.669293,7,2
1369009.743057,5,4
1369010.821161,400,4
1369011.923363,1,4
1369012.984063,8,1
1369014.046943,2,4
1369015.110791,0,4
1369016.194948,6,4
1369017.279225,9,3
1369018.374772,3,3
1369019.442338,100,4
1369025.537866,0,3
1369026.629139,400,3
1369027.700115,1,2
1369028.783513,3,2
1369029.839331,6,4
1369030.911910,2,1
1369031.973362,5,3
1369033.028539,8,2
1369034.088097,7,2
1369035.171056,400,1
1369036.245365,4,4
1369037.304779,9,4
1369038.359812,100,4
1369044.452928,4,4
1369045.514957,8,1
1369046.573737,1,4
1369047.647857,7,2
1369048.724781,9,3
1369049.802539,2,1
1369050.877902,400,2
1369051.952589,5,4
1369053.007981,400,1
1369054.086873,6,2
1369055.138646,0,2
1369056.215676,3,2
1369057.263789,100,4
1369063.334350,3,4
1369064.410468,7,2
1369065.473014,0,4
1369066.546355,5,3
1369067.629523,1,3
1369068.703218,4,4
1369069.761867,400,2
1369070.843965,2,1
1369071.907212,6,1
1369072.972103,9,2
1369074.054345,400,3
1369075.131707,8,1
1369076.194557,100,4
1369082.318198,3,1
1369083.397749,2,1
1369084.492369,1,3
1369085.574863,5,1
1369086.637323,9,4
1369087.701518,400,1
1369088.771564,6,2
1369089.833083,0,4
1369090.912834,7,3
1369091.981948,8,3
1369093.047956,4,4
1369094.116123,400,4
1369095.184261,100,4
1369101.264014,7,4
1369102.367251,1,1
1369103.463114,6,1
1369104.546383,400,2
1369105.626872,5,1
1369106.704764,2,4
1369107.768045,3,1
1369108.827360,0,2
1369109.892068,400,3
1369110.968003,9,2
1369112.045748,4,1
1369113.112177,8,3
1369114.182887,100,4
1369120.295395,6,3
1369121.381913,8,4
1369122.446178,5,3
1369123.526391,2,3
1369124.605900,9,1
1369125.677030,400,4
1369126.738581,1,4
1369127.824953,400,4
1369128.902359,4,4
1369129.986444,0,1
1369131.064014,3,4
1369132.133770,7,1
1369133.214576,100,4
1369139.319758,9,2
1369140.387066,4,4
1369141.471112,5,2
1369142.555586,0,1
1369143.655275,6,3
1369144.747140,400,4
1369145.829321,7,1
1369146.889204,2,3
1369147.930496,3,3
1369149.021985,8,3
1369150.113372,400,3
1369151.176372,1,3
1369152.225631,100,4
1369158.330865,3,1
1369159.411276,8,1
1369160.500569,0,3
1369161.565857,7,2
1369162.655776,2,1
1369163.718153,4,1
1369164.777503,1,1
1369165.857446,400,4
1369166.941575,6,3
1369168.026297,9,4
1369169.104800,5,4
1369170.154637,400,2
1369171.233115,100,4
1369177.335574,5,3
1369178.406003,2,3
1369179.472169,400,2
1369180.527352,400,3
1369181.595559,8,1
1369182.668399,3,2
1369183.711587,9,3
1369184.765797,7,3
1369185.838646,1,1
1369186.913085,0,2
1369187.997739,6,2
1369189.083100,4,1
1369190.135154,100,4
1369196.234535,6,2
1369197.336161,4,1
1369198.406885,400,3
1369199.484913,1,3
1369200.562634,0,3
1369201.629474,5,2
1369202.710096,7,2
1369203.794191,2,3
1369204.873020,9,4
1369205.939916,400,4
1369207.011670,3,2
1369208.072540,8,1
1369209.120680,100,4
1369215.212196,8,3
1369216.278215,400,3
1369217.349234,1,4
1369218.416491,9,3
1369219.516955,3,4
1369220.590341,0,4
1369221.665008,5,4
1369222.718844,7,4
1369223.797407,2,4
1369224.865309,400,2
1369225.936569,6,1
1369227.007834,4,1
1369228.044748,100,4
1369234.125146,7,4
1369235.211888,1,4
1369236.267647,5,4
1369237.342605,400,4
1369238.440483,3,2
1369239.530647,0,4
1369240.601698,4,3
1369241.668081,2,1
1369242.742330,6,1
1369243.770958,8,1
1369244.829402,400,4
1369245.917819,9,1
1369246.989098,100,4
1369253.117093,4,2
1369254.208956,1,1
1369255.278955,400,4
1369256.351494,8,3
1369257.408960,400,4
1369258.480259,3,2
1369259.563451,6,4
1369260.613260,5,1
1369261.679329,9,3
1369262.757293,7,2
1369263.833672,0,3
1369264.898095,2,4
1369265.936855,100,4
1369272.041797,400,2
1369273.124239,8,1
1369274.196299,400,1
1369275.256999,2,4
1369276.336114,5,3
1369277.430639,0,2
1369278.500976,1,2
1369279.586182,7,1
1369280.655750,6,1
1369281.727110,4,3
1369282.816141,9,2
1369283.902167,3,2
1369284.968960,100,4
1369291.082213,0,3
1369292.165917,6,1
1369293.229796,3,4
1369294.303893,400,3
1369295.390697,4,3
1369296.482234,7,3
1369297.556941,8,3
1369298.605852,400,1
1369299.681719,2,4
1369300.746730,1,4
1369301.830004,5,4
1369302.914261,9,2
1369303.991919,100,4
1369310.136401,8,4
1369311.258581,0,3
1369312.320972,2,1
1369313.371434,5,3
1369314.445516,7,1
1369315.535791,3,3
1369316.619150,4,3
1369317.679750,9,4
1369318.760933,1,1
1369319.833085,6,1
1369320.868533,400,2
1369321.926692,400,2
1369322.983438,100,4
1369329.072692,8,1
1369330.147290,7,4
1369331.226357,4,4
1369332.298596,5,2
1369333.363221,0,4
1369334.457552,9,2
1369335.548567,400,1
1369336.608263,6,4
1369337.651158,1,2
1369338.726331,2,3
1369339.813829,400,3
1369340.879509,3,3
1369341.920265,100,4
